市代码	区县代码	描述
020	101	上海区
030	101	天津区
051	105	小店区
051	106	迎泽区
051	107	杏花岭区
051	108	尖草坪区
051	109	万柏林区
051	110	晋源区
051	121	清徐县
051	122	阳曲县
051	123	娄烦县
053	201	城区
053	202	矿区
053	203	南郊区
053	211	新荣区
053	212	阳高县(龙泉镇)
053	221	天镇县(玉泉镇)
053	222	广灵县(壶泉镇)
053	223	灵丘县(武灵镇)
053	224	浑源县(永安镇)
053	225	左云县(云兴镇)
053	226	大同县(西坪镇)
054	302	城区
054	303	矿区
054	311	郊区
054	321	平定县(冠山镇)
054	322	盂县(秀水镇)
055	401	城区
055	402	郊区
055	411	潞城市
055	421	长治县(韩店镇)
055	423	襄垣县(古韩镇)
055	424	屯留县(麟绛镇)
055	425	平顺县(青羊镇)
055	426	黎城县(黎侯镇)
055	427	壶关县(龙泉镇)
055	428	长子县(丹朱镇)
055	429	武乡县(丰州镇)
055	430	沁县(定昌镇)
055	431	沁源县(沁河镇)
056	501	城区
056	502	高平市
056	521	泽州县(南村镇)
056	522	沁水县(龙港镇)
056	524	阳城县(凤城镇)
056	525	陵川县(崇文镇)
058	602	朔城区
058	603	平鲁区
058	621	山阴县(岱岳乡)
058	622	应县(金城镇)
058	623	右玉县(新城镇)
058	624	怀仁县(云中镇)
059	201	忻府区
059	202	原平市
059	222	定襄县(晋昌镇)
059	223	五台县(台城镇)
059	225	代县(上馆镇)
059	226	繁峙县(繁城镇)
059	227	宁武县(凤凰镇)
059	228	静乐县(鹅城镇)
059	229	神池县(龙泉镇)
059	230	五寨县(砚城镇)
059	231	岢岚县(岚漪镇)
059	232	河曲县(文笔镇)
059	233	保德县(东关镇)
059	234	偏关县(新关镇)
05E	601	尧都区
05E	602	侯马市
05E	603	霍州市
05E	621	曲沃县(乐昌镇)
05E	622	翼城县(唐兴镇)
05E	623	襄汾县(新城镇)
05E	625	洪洞县(大槐树镇)
05E	627	古县(岳阳镇)
05E	628	安泽县(府城镇)
05E	629	浮山县(天坛镇)
05E	630	吉县(吉昌镇)
05E	631	乡宁县(昌宁镇)
05E	632	蒲县(蒲城镇)
05E	633	大宁县(昕水镇)
05E	634	永和县(芝河镇)
05E	635	隰县(龙泉镇)
05E	636	汾西县(永安镇)
05H	701	盐湖区
05H	702	永济市
05H	703	河津市
05H	723	芮城县(古魏镇)
05H	724	临猗县(猗氏镇)
05H	725	万荣县(解店镇)
05H	726	新绛县(龙兴镇)
05H	727	稷山县(稷峰镇)
05H	729	闻喜县(桐城镇)
05H	730	夏县(瑶峰镇)
05H	731	绛县(古绛镇)
05H	732	平陆县(圣人涧镇)
05H	733	垣曲县(新城镇)
05I	401	榆次区
05I	402	介休市
05I	421	榆社县(箕城镇)
05I	422	左权县(辽阳镇)
05I	423	和顺县(义兴镇)
05I	424	昔阳县(乐平镇)
05I	427	寿阳县(朝阳镇)
05I	429	太谷县(明星镇)
05I	430	祁县(昭余镇)
05I	431	平遥县(古陶镇)
05I	433	灵石县(翠峰镇)
05J	301	离石区
05J	302	孝义市
05J	303	汾阳市
05J	322	文水县(凤城镇)
05J	323	中阳县(宁乡镇)
05J	325	兴县(蔚汾镇)
05J	326	临县(临泉镇)
05J	327	方山县(圪洞镇)
05J	328	柳林县(柳林镇)
05J	329	岚县(东村镇)
05J	330	交口县(水头镇)
05J	332	交城县(天宁镇)
05J	333	石楼县(灵泉镇)
200	109	昌江县
200	110	澄迈县
200	111	儋州-停
200	112	定安县
200	113	东方-停
200	114	乐东县
200	115	临高县
200	116	陵水县
