省代码	市代码	描述
010	010	北京
020	020	上海
030	030	天津
04Z	040	内蒙呼和浩特
04Z	041	内蒙呼和浩特土默特左旗
04Z	042	内蒙包头
04Z	043	内蒙包头土默特右旗
04Z	044	内蒙乌海
04Z	045	内蒙赤峰
04Z	046	内蒙赤峰阿鲁科尔沁旗
04Z	047	内蒙赤峰巴林左旗
04Z	048	内蒙赤峰巴林右旗
04Z	049	内蒙赤峰克什克腾旗
04Z	04A	内蒙赤峰翁牛特旗
04Z	04B	内蒙赤峰喀喇沁旗
04Z	04C	内蒙赤峰敖汉旗
04Z	04D	内蒙呼伦贝尔盟
04Z	04E	内蒙呼伦贝尔盟海拉尔
04Z	04F	内蒙呼伦贝尔盟满州里
04Z	04G	内蒙呼伦贝尔盟扎兰屯
04Z	04H	内蒙呼伦贝尔盟牙克石
04Z	04I	内蒙呼伦贝尔盟阿荣旗
050	051	山西太原
050	052	山西太原古交
050	053	山西大同
050	054	山西阳泉
050	055	山西长治
050	056	山西晋城
050	057	山西晋城高平
050	058	山西朔州
050	059	山西忻州
050	05A	山西忻州原平
050	05B	山西吕梁孝义
050	05C	山西晋中榆次
050	05D	山西晋中介休
050	05E	山西临汾
050	05F	山西临汾侯马
050	05G	山西临汾霍州
050	05H	山西运城
050	05I	山西晋中
050	05J	山西吕梁
060	061	河北石家庄
060	062	河北石家庄辛集
060	063	河北石家庄藁城
060	064	河北石家庄晋州
060	065	河北石家庄新乐
060	066	河北唐山
060	067	河北唐山遵化
060	068	河北秦皇岛
060	069	河北邯郸
060	06A	河北邯郸武安
060	06B	河北邢台
060	06C	河北邢台南宫
060	06D	河北邢台沙河
060	06E	河北保定
060	06F	河北张家口
060	06G	河北承德
060	06H	河北沧州
060	06I	河北沧州泊头
060	06J	河北沧州任丘
060	06K	河北沧州黄骅
060	06L	河北沧州河间
060	06M	河北廊坊
060	06N	河北廊坊霸州
060	06O	河北廊坊三河
060	06P	河北保定定州
060	06Q	河北保定涿州
060	06R	河北保定安国
060	06S	河北保定高碑店
060	06T	河北衡水
060	06U	河北衡水冀州
070	071	辽宁沈阳
070	072	辽宁沈阳新民
070	073	辽宁大连
070	074	辽宁大连瓦房店
070	075	辽宁大连普兰店
070	076	辽宁大连庄河
070	077	辽宁鞍山
070	078	辽宁鞍山 辖
070	079	辽宁鞍山海城
070	07A	辽宁抚顺
070	07B	辽宁本溪
070	07C	辽宁丹东
070	07D	辽宁丹东东港
070	07E	辽宁锦州
070	07F	辽宁锦州凌海
070	07G	辽宁营口
070	07H	辽宁营口盖州
070	07I	辽宁营口大石桥
070	07J	辽宁阜新
070	07K	辽宁辽阳
070	07L	辽宁盘锦
070	07M	辽宁铁岭
070	07N	辽宁铁岭铁法
070	07O	辽宁铁岭开原
070	07P	辽宁朝阳
070	07Q	辽宁朝阳北票
070	07R	辽宁朝阳凌源
070	07S	辽宁锦西
070	07T	辽宁锦西兴城
080	081	吉林长春
080	082	吉林长春九台
080	083	吉林长春榆树
080	084	吉林
080	085	吉林 辖
080	086	吉林蛟河
080	087	吉林桦甸
080	088	吉林舒兰
080	089	吉林四平
080	08A	吉林四平公主岭
080	08B	吉林辽源
080	08C	吉林通化
080	08D	吉林通化梅河口
080	08E	吉林通化集安
080	08F	吉林浑江
080	08G	吉林浑江临江
080	08H	吉林松原
080	08I	吉林白城
080	08J	吉林白城洮南
080	08K	吉林白城大安
080	08L	吉林延边朝鲜族自治州
080	08M	吉林延边延吉
080	08N	吉林延边图们
080	08O	吉林延边敦化
080	08P	吉林延边珲春
080	08Q	吉林延边龙井
